iter	RMSE
258	57.55655848
259	57.53948881
260	57.50612608
261	57.49568182
262	57.46872807
263	57.43880661
264	57.41951835
265	57.39704703
266	57.38718957
267	57.37718542
268	57.35156427
269	57.32713648
270	57.30576144
271	57.28149877
272	57.24463579
273	57.23615469
274	57.21891108
275	57.20218816
276	57.17723514
277	57.17150332
278	57.15065104
279	57.13480349
280	57.11122614
281	57.09173742
282	57.06927186
283	57.04687726
284	57.02440424
285	57.01707032
286	56.99775719
287	56.97654541
288	56.95011794
289	56.92583765
290	56.91405654
291	56.89211396
292	56.86280934
293	56.84408257
294	56.82342898
295	56.79025582
296	56.75711651
297	56.73734289
298	56.71895497
299	56.70121932
300	56.67179632
301	56.6514135
302	56.63881309
303	56.61968718
304	56.600686
305	56.58009697
306	56.54950631
307	56.53361672
308	56.52402774
309	56.49463843
310	56.48369138
311	56.46113494
312	56.4444949
313	56.41711204
314	56.39527737
315	56.37200219
316	56.3531883
317	56.33218677
318	56.31689632
319	56.29778283
320	56.26914029
321	56.24621965
322	56.23247994
323	56.20903826
324	56.1868481
325	56.16866459
326	56.14635427
327	56.13589831
328	56.11255005
329	56.10010688
330	56.07514192
331	56.04543554
332	56.0357101
333	56.01035632
334	55.99516733
335	55.97325739
336	55.95297944
337	55.94429277
338	55.91332336
339	55.89281964
340	55.87956451
341	55.85856178
342	55.83873248
343	55.82048225
344	55.8136221
345	55.77957756
346	55.75836531
347	55.74910216
348	55.72782219
349	55.72035988
350	55.70775951
351	55.68944369
352	55.67225322
353	55.65208319
354	55.63118327
355	55.61543528
356	55.60538766
357	55.59206805
358	55.57643013
359	55.55590806
360	55.54613271
361	55.53590585
362	55.52767924
363	55.51350657
364	55.4959444
365	55.47963981
366	55.45387927
367	55.43634785
368	55.40211956
369	55.37160951
370	55.35527627
371	55.3486777
372	55.33844785
373	55.31748519
374	55.29793109
375	55.27604187
376	55.26287048
377	55.24628498
378	55.22849968
379	55.20281707
380	55.18663843
381	55.1782315
382	55.17013394
383	55.16281143
384	55.15335813
385	55.13735089
386	55.11559052
387	55.10287786
388	55.09106261
389	55.07318887
390	55.05728658
391	55.04666913
392	55.02841839
393	55.00966515
394	55.00544207
395	54.98983323
396	54.97325072
397	54.95601814
398	54.95220751
399	54.93568376
400	54.91898896
401	54.89700643
402	54.88016295
403	54.87212122
404	54.85326402
405	54.83362253
406	54.82012303
407	54.80270466
408	54.78215779
409	54.76912747
410	54.75223667
411	54.73798329
412	54.71838458
413	54.71468927
414	54.69103096
415	54.68098424
416	54.65825898
417	54.62827057
418	54.62265835
419	54.61405598
420	54.59754289
421	54.59005841
422	54.57096316
423	54.56296527
424	54.5497795
425	54.54110737
426	54.51759809
427	54.50468415
428	54.4930413
429	54.47487272
430	54.45560343
431	54.43588257
432	54.41360186
433	54.39163506
434	54.37049862
435	54.36016112
436	54.3454108
437	54.34077489
438	54.32440035
439	54.30009569
440	54.28677375
441	54.28420776
442	54.26743459
443	54.25652925
444	54.23740942
445	54.22036691
446	54.20941216
447	54.19149572
448	54.16540842
449	54.14821179
450	54.13510332
451	54.11318483
452	54.10008859
453	54.08366513
454	54.07531077
455	54.06146831
456	54.04198719
457	54.02855376
458	54.0083644
459	53.98123834
460	53.96523669
461	53.9387052
462	53.92375761
463	53.90459494
464	53.89530845
465	53.87707718
466	53.86283052
467	53.84813357
468	53.8282486
469	53.8150753
470	53.80513867
471	53.78232476
472	53.76605733
473	53.7587305
474	53.73684469
475	53.72824189
476	53.70928869
477	53.68730517
478	53.66229626
479	53.64715285
480	53.62594736
481	53.60005544
482	53.59285546
483	53.57703015
484	53.55503473
485	53.53971632
486	53.53014917
487	53.51614281
488	53.5012058
489	53.47926593
490	53.4701237
491	53.45207524
492	53.43529654
493	53.42931439
494	53.41681352
495	53.40932195
496	53.38941166
497	53.37322169
498	53.3677533
499	53.34893197
500	53.33308768
501	53.32183121
502	53.29817102
503	53.28888349
504	53.27228789
505	53.25496
506	53.24015459
507	53.21945366
508	53.20207564
509	53.18966921
510	53.1794016
511	53.152761
512	53.14531828
513	53.13353635
514	53.11876594
515	53.09154476
516	53.07737917
517	53.06433015
518	53.03960744
519	53.01562206
520	52.99945394
521	52.97459099
522	52.96735288
523	52.94687571
524	52.93274305
525	52.92070526
526	52.89656209
527	52.8798919
528	52.86073627
529	52.84850557
530	52.84117147
531	52.82821431
532	52.81516265
533	52.80571197
534	52.79295967
535	52.77367343
536	52.76229593
537	52.74518913
538	52.73312802
539	52.72791565
540	52.70108043
541	52.68557727
542	52.6773617
543	52.66177609
544	52.64095367
545	52.6273661
546	52.6042869
547	52.58510229
548	52.56183211
549	52.54750935
550	52.53390893
551	52.52053531
552	52.50237486
553	52.47570611
554	52.462847
555	52.45172108
556	52.4324773
557	52.41816961
558	52.40180271
559	52.37494788
560	52.36022577
561	52.33949131
562	52.32612715
563	52.31191386
564	52.2966596
565	52.2872258
566	52.27750902
567	52.26609981
568	52.25495864
569	52.24835856
570	52.23204567
571	52.21649552
572	52.2080964
573	52.1980963
574	52.16751434
575	52.14729355
576	52.12589081
577	52.1193796
578	52.11347961
579	52.09630858
580	52.074304
581	52.06025173
582	52.04409794
583	52.03172551
584	52.0056146
585	51.9802466
586	51.95967224
587	51.95201375
588	51.93416609
589	51.92309416
590	51.90544997
591	51.89273786
592	51.87949747
593	51.86264272
594	51.84637204
595	51.8266639
596	51.80294144
597	51.79781884
598	51.78999473
599	51.77722223
600	51.76464996
601	51.75169827
602	51.73340185
603	51.7137767
604	51.70353084
605	51.6966855
606	51.6798952
607	51.66971479
608	51.65540347
609	51.64730793
610	51.63149573
611	51.6096407
612	51.59598938
613	51.5859411
614	51.56941002
615	51.56134952
616	51.54279041
617	51.52930993
618	51.51557515
619	51.49744892
620	51.48653857
621	51.4707236
622	51.46128174
623	51.44410978
624	51.43141047
625	51.4153772
626	51.40378517
627	51.39018882
628	51.37143325
629	51.36205721
630	51.34718115
631	51.33440847
632	51.31404622
633	51.30025279
634	51.28090401
635	51.27108896
636	51.25857373
637	51.24455978
638	51.22644833
639	51.21566345
640	51.19183712
641	51.17846283
642	51.16657395
643	51.15340071
644	51.1307222
645	51.11153523
646	51.0960049
647	51.08233026
648	51.06675997
649	51.05355214
650	51.04535007
651	51.02618619
652	51.01455239
653	50.99973075
654	50.98845054
655	50.97442025
656	50.95770711
657	50.94980819
658	50.93694123
659	50.92775319
660	50.91071687
661	50.90391743
662	50.88925931
663	50.88311957
664	50.87119062
665	50.85714615
666	50.83990278
667	50.82682461
668	50.80817702
669	50.79431181
670	50.78242563
671	50.76986034
672	50.755334
673	50.73270072
674	50.72536421
675	50.71545965
676	50.70590753
677	50.693103
678	50.68217121
679	50.66942652
680	50.6580431
681	50.6508781
682	50.63715732
683	50.62110874
684	50.61363014
685	50.59802825
686	50.59222697
687	50.58233083
688	50.56637091
689	50.55028204
690	50.53847299
691	50.52097356
692	50.50897155
693	50.49394319
694	50.48281126
695	50.46585115
696	50.45698587
697	50.44418393
698	50.43405244
699	50.41706524
700	50.40522399
701	50.39137479
702	50.37035019
703	50.36331744
704	50.33919803
705	50.32871958
706	50.31604956
707	50.30598682
708	50.29122108
709	50.28172835
710	50.267625
711	50.25777678
712	50.24014788
713	50.22939077
714	50.21732886
715	50.20827815
716	50.18840729
717	50.17772033
718	50.16331654
719	50.14707461
720	50.13911248
721	50.12866547
722	50.10533531
723	50.09462931
724	50.07443479
725	50.06233511
726	50.04879597
727	50.04108245
728	50.02246065
729	50.0093478
730	49.99617482
731	49.98427651
732	49.96592028
733	49.94884215
734	49.93097437
735	49.91698606
736	49.90835334
737	49.89779353
738	49.89286167
739	49.87648959
740	49.86637605
741	49.84181229
742	49.83047747
743	49.81660528
744	49.79791912
745	49.78279119
746	49.76936527
747	49.75467858
748	49.74449353
749	49.73280506
750	49.72120188
751	49.71289298
752	49.70288899
753	49.69302454
754	49.66890173
755	49.65858332
756	49.64654291
757	49.62379315
758	49.61126629
759	49.59624017
760	49.58581266
761	49.56833189
762	49.55721421
763	49.55160867
764	49.54630522
765	49.53322844
766	49.51193689
767	49.50279935
768	49.49032435
769	49.47680877
770	49.46964723
771	49.45876105
772	49.44085606
773	49.42696508
774	49.40724004
775	49.39314407
776	49.38298408
777	49.36974404
778	49.35430016
779	49.34392688
780	49.3327586
781	49.32405315
782	49.31315367
783	49.30297602
784	49.29159715
785	49.2714166
786	49.25699635
787	49.24641942
788	49.23001128
789	49.21466985
790	49.1981413
791	49.1851198
792	49.16274229
793	49.15625044
794	49.14833476
795	49.13924518
796	49.13106249
797	49.11675953
798	49.09629437
799	49.07883554
800	49.06258737
801	49.04745007
802	49.03347122
803	49.01881965
804	49.00931371
805	48.99053278
806	48.97758944
807	48.96777059
808	48.9462827
809	48.93676039
810	48.9183453
811	48.9109579
812	48.90586675
813	48.88734448
814	48.88240101
815	48.87340577
816	48.86688086
817	48.8587649
818	48.85348026
819	48.83779305
820	48.82712165
821	48.81164482
822	48.79393635
823	48.78759276
824	48.77325778
825	48.76473858
826	48.74505839
827	48.72656494
828	48.70987092
829	48.69915751
830	48.69318529
831	48.68341638
832	48.67550645
833	48.66045382
834	48.65077345
835	48.64582061
836	48.63249576
837	48.6191009
838	48.60822825
839	48.60060311
840	48.5834128
841	48.57731185
842	48.57088128
843	48.56090066
844	48.5500699
845	48.53732702
846	48.53283938
847	48.52657802
848	48.51846213
849	48.50879859
850	48.49353916
851	48.47456724
852	48.46050331
853	48.44380185
854	48.43172724
855	48.42229655
856	48.41270296
857	48.38884273
858	48.38348511
859	48.36674541
860	48.35567964
861	48.34122056
862	48.33180369
863	48.3220918
864	48.31246607
865	48.30372824
866	48.29468961
867	48.28811847
868	48.27562122
869	48.26363129
870	48.2551343
871	48.24527978
872	48.22709527
873	48.21638196
874	48.21006642
875	48.19682126
876	48.18769937
877	48.17788119
878	48.16390412
879	48.15396359
880	48.13943993
881	48.13154605
882	48.12269144
883	48.1182181
884	48.10919501
885	48.10422444
886	48.09381216
887	48.07871174
888	48.05718053
889	48.05225458
890	48.04800218
891	48.03403505
892	48.0237286
893	48.01690673
894	48.0076072
895	47.99203841
896	47.98109558
897	47.9732516
898	47.95730763
899	47.94607477
900	47.93299345
901	47.92000097
902	47.91081997
903	47.89900214
904	47.88741888
905	47.88064619
906	47.86184382
907	47.85660257
908	47.84288172
909	47.82491795
910	47.81221999
911	47.79686124
912	47.77286653
913	47.76051053
914	47.74308569
915	47.72555318
916	47.72545878
917	47.72530838
918	47.71652758
919	47.7043188
920	47.69271344
921	47.67591735
922	47.66766395
923	47.65720467
924	47.6475031
925	47.6366676
926	47.62897856
927	47.6179058
928	47.60644444
929	47.59242761
930	47.57447689
931	47.56583969
932	47.55190444
933	47.53915794
934	47.52661152
935	47.51798224
936	47.50078442
937	47.48275399
938	47.47263478
939	47.46147417
940	47.44891247
941	47.43766868
942	47.43029846
943	47.42257455
944	47.41517635
945	47.39341706
946	47.38024676
947	47.36977777
948	47.35524711
949	47.34185323
950	47.33036111
951	47.32222791
952	47.30836299
953	47.29172972
954	47.27895315
955	47.27107662
956	47.26042644
957	47.25112741
958	47.23525684
959	47.23511145
960	47.23497168
961	47.22118511
962	47.21114071
963	47.20502173
964	47.19180945
965	47.17409534
966	47.1661771
967	47.1462096
968	47.13345435
969	47.12368943
970	47.12354621
971	47.11409488
972	47.09825116
973	47.08660045
974	47.07429567
975	47.06559407
976	47.04561069
977	47.04088105
978	47.03225259
979	47.01867943
980	47.00619445
981	46.99067059
982	46.97978617
983	46.96746536
984	46.95463354
985	46.94181124
986	46.93318413
987	46.9167536
988	46.9095376
989	46.8987452
990	46.88248798
991	46.86816148
992	46.86284416
993	46.8509144
994	46.84222509
995	46.82715011
996	46.81282442
997	46.81268332
998	46.80491098
999	46.80477282
